From: Statistique des permis de conduire 2019 - 2023 : https://www.astra.admin.ch/dam/astra/fr/dokumente/abteilung_strassenverkehrallgemein/admas/fuehrerausweisstatistik-2023.pdf.download.pdf/Statistique_des_permis_de_conduire_2023.pdf,,,,,,,
Total  B driver license,Total population,Woman,Male,,,,
gender B,6265527,2923300,3341986,,,,
,Total population,15-17,18-24,25-44,45-64,65-74,75-100
Age B,6265527,0,382499,2136669,2380203,867726,498430
Total A driver licence,Total population,Female,Male,,,,
gender A,4317038,1849979,2466966,,,,
,Total population,15-17,18-24,25-44,45-64,65-74,75-100
Age A,4317038,6642,2136669,102110,1945616,789765,488176
B new drivers,Total population,Woman,Male,,,,
gender B,75712,36051,36661,,,,
,Total population,15-17,18-24,25-44,45-64,65-74,75-100
Age B,75712,0,60195,14223,1272,21,1
A new drivers,Total population,Female,Male,,,,
gender A,25823,7279,18544,,,,
,Total population,15-17,18-24,25-44,45-64,65-74,75-100
Age A,25823,5819,11581,7732,684,6,1